id,name,system_name
560,На Мате Залки,KSK7
575,На 40-лет Октября,VSK1
581,На Советской,KSF2
604,На Федеративном,MSK224
607,На Юнтоловском пр.,SPB205
616,2298 Постамат Халва,TYUM116
617,На Соборной,KEM7
626,На Красном  13,BLA2
656,На Кошурникова  11/1,NSK340
657,На Днепровской  36,VLK94
671,На Школьной 399,SKB4
675,На Заводской,VKS2
678,На Докучаева  23,PRM169
691,На Октябрьской 50,TKV1
700,1070 Постамат Халва,MSK1703
708,На Ленина,KRM4
721,6510 Постамат СДЭК,KSK98
726,На Зорге,RND28
729,Спортивная,TAL2
741,На Парковой  1,BIT2
749,На Юбилейной,UXT1
751,На Московской  340,BRE6
757,На 51-й Гвардейской Дивизии  30,VLG126
770,На Свердлова,KACH1
772,На Тургенева 48,ORL32
779,На Центральном проезде  3,PRO11
787,Восьмиэтажка,UFA26
798,На Балахонова 46,CHRK8
802,На Карла Маркса  27,KNR3
808,На Калинина  20,VLZ1
817,На Калинина  21Б,TVR15
819,Колычево,KLM3
826,На Попова,LYUB5
832,На Грибоедова  7,PSHK29
841,На Октябрьской 33,ZHLD22
847,3422 Постамат Халва,SML37
850,На Дежнева 2,KRN16
852,На Селезнева 33,MTSHCH15
853,На Советской,BRZH3
859,6061 Постамат Халва,CHRP27
862,На Московском 11,KEM107
871,На Ленинградском шоссе,KLN3
874,На Главной  137,SCH96
875,На Калинина,ACHN6
881,Молоково,MOL2
885,СЦ (прием/выдача тяжелых грузов  LTL),PSHN3
887,На Поленова 2,OBN21
888,На бульваре М.М. Кузьмина  27,OMS187
896,Каршияка,IZM1
902,На Шохина  12,ZEY1
913,На Халезова 27а,KZN21
919,На Горском,NSK23
940,На Октябрьской 85/2,SHI8
949,На 280-летия Барнаула  21,BRN62
956,Кузьминки,MSK12
958,На Авиационной,BRK11
968,На Михайловском шоссе 31В  Крейда,BLD6
978,На Октябрьской,PIR1
980,На Садовой 9А,SOB1
995,Дом Обороны,TYUM33
999,На Гагарина,VLKH5
1000,На Кооперативной  26,CHLM2
1019,На пр. Кулиева  2,NLCH9
15,На Волжской,ULN14
23,На Советской,NSK69
35,На Варшавском шоссе  132/2,MSK1124
44,Молодой Гвардии,KRV5
47,Голубкова,KST14
50,СЦ (прием/выдача тяжелых грузов),TLT11
57,На Беспалова,SMF19
64,На Мира,NZHV2
72,На Ахматбека Суюнбаева,BISH8
78,На Ленина,KKS3
79,На Куприна 24к2,SOYE36
83,На Красноярской 123,SMO1
86,4777 Постамат Халва,MSK1465
89,На Ленина  58В,VZHS1
148,3985  Постамат Халва,MSK2169
149,На Самаренкина,NUR1
150,На Кирова,CHEL43
152,Северный,SPD11
158,На Волжской,MSK278
160,На Льва Толстого  77,TOM85
162,На Олега Кошевого  44г,IKR1
166,На Пролетарской,KON2
170,На Теплякова 1В,ZVK3
178,На Колхозной 18/1,KSD224
191,На Джамбула,KHAB9
199,На Революционной,FRO3
202,На Новочеркасском бульваре,MSK233
216,6095 Постамат Халва,SPB1126
222,На Пластунской 4А,SCH47
226,На Ленина  51,TRV2
227,На Мира 1с5,PER1
234,На Яганова  12,BLSH88
243,На Северной  67,TIM2
248,СЦ Качалова (прием/выдача тяжелых грузов  LTL),SPB4
249,На Вертолетчиков 4  корп. 4,NEK14
250,6560 Постамат СДЭК,MSK667
265,На Желябова,MOS1
271,На 60 лет Октября,SMF18
276,На Гвардейской,KZN8
278,На Закян  5/5,YERE14
281,Международная,SPB27
283,На Пушкина,UFA18
289,На Питерской 40,KSD217
305,На Челюскинцев 25,YEKB4
307,Адлер (Голубые дали  40),SCH48
316,На Московской,SOL5
324,На Советской,KRCH1
327,На Ленина,TOM3
339,4086 Постамат Халва,MTN42
353,На Салмышской,ORN2
376,Науки 8,SPB239
385,На Октябрьской 39,GRN2
386,На Гагарина,SCH10
387,пр-т Комсомольский,NVT3
398,На Фрунзе 48,TGN28
402,На Солдатова,PRM19
408,На Репина  5,KSD63
430,4238 Постамат Халва,IVT11
441,На Гагарина  10/2,UFA117
448,На Вокзальной 8/1,CHKS11
450,На Крымской  22к7,GLD17
463,На Попова  114,BRN10
477,На Луначарского  130,YEKB362
492,На 43 Армии,PLK5
499,Дагомыс на Российской 3,SCH11
504,Адлер На Кишиневской  8А,SCH114
527,На Петра Сумина  24,CHEL140
546,На Плесецкой 10,SPB1136
554,На Федюнинского,TYUM42
559,Арсенал,LPTS3
569,Кристалл,OMS7
583,На Советской 58,KAR16
595,Центральный,KAN1
597,21 век,KZN39
599,На Большой Подгорной  87,TOM28
630,На Космонавтов,RMN7
632,На Селезнева 100,KSD102
638,На Денисова 23,OBL1
646,На ФПК,KEM23
683,На Октября 42,STR20
687,3364 Постамат Халва,KLD77
689,На Ленина 152,KAL1
694,1525 Постамат Халва,MSK1779
716,На Мира  330А,STV24
719,Ильинский бульвар,KRN14
722,СЦ нет приема/выдачи груза,CHBK68
734,На Ленина 22,CHKS3
743,ЖК Плеханово,TYUM58
748,Башня Шейха Нура,DUB8
763,На Олимпийском 26,SAYA7
767,На Авиационной 141Б,OMS84
773,Меркурий,ULN11
776,На Красных Зорь,NN3
780,На Карпинского 35,PRM181
782,1917  Постамат Халва,GLD13
790,2510 Постамат Халва,KLD89
812,Топ Диск,PNZ10
816,На Планерной 14к1,MSK2352
824,На Пионерской 9,DAL2
825,1583 Постамат Халва,SPB902
829,На Часовой  37/1,NSK67
838,0316 Постамат Халва,MSK1713
848,На Баулинской  5к1,OSTS6
860,СЦ (Нет выдачи/приема),MNV5
861,На Карла Маркса  6,RMN13
868,На Одоевского  28,SPB551
877,На Шахтерском шоссе 14,NEL1
883,На Мусы Джалиля,MNZ1
907,На Марата  8,SPB505
915,Косарева,TOM23
918,На Б.Санкт-Петербургской  39с11,VNG1
939,На Володарского  152,OST3
960,На Крупской 60А,YEVP3
964,Юбилейный проспект 66,RTK10
969,1630 Постамат Халва,SPB888
972,3304 Постамат Халва,YEKB233
977,На Ленинградском  65,VBR11
984,На Ленина 149,AFI2
985,На Доваторцев  84/4,STV56
993,Красноармейская,RND21
1005,На Абакарова 53,KAR23
1010,На Кубяка,KLG20
1012,На Пионерской 12,SGN2
1021,На Кожевнической 18с2,MSK2179
