id;warehouse_id;city_id;street;house
183;183;194;ПРОМЫШЛЕННЫЙ ПРОЕЗД;12
185;185;424;ул. им. Героя Сарабеева;5/4,
186;186;651;ул. Центральная;4
188;188;1041;Западный проезд;14
204;204;267;ул. Урицкого;68
215;215;157;микр. Птицефабрика;35
224;224;82;ул. Велозаводская;11.янв
235;235;1243;ул. Коммунальная;16а
252;252;169;пр-т Дунайский;7к3
258;258;178;пр-т Мира;47
259;259;810;ул. Луч;20
263;263;410;ул. Братьев Кашириных;115
267;267;172;ул. Гагарина;36А
269;269;200;ул. Октябрьская площадь;18А
273;273;331;ул. Бабушкина;202
275;275;1049;ул. Джабагиева;1а
285;285;991;ул. Юбилейная;5
287;287;343;ул. Луначарского;24
291;291;237;ул. 16 лет Октября;24а
292;292;494;ул. Лесотехникума;49/1
296;296;269;ул. Жигулёвская;9
299;299;328;ул. Большая Октябрьская;39
309;309;500;ул. Морозова;105
336;336;14;Рокоссовского;31
337;337;169;Пулковское шоссе;24
357;357;169;ул. Ленская;12
358;358;341;ул. Советская;25
362;362;341;ул. Сибирский Тракт;23
364;364;847;ул. Ленина;17/18
366;366;153;ул. 3-го Интернационала;169
368;368;98;ул. Совхозная;16
371;371;382;АРХАНГЕЛЬСКОЕ ШОССЕ;41
403;403;345;пер. Комсомольский ;2
429;429;384;ул. Парковая;1Г
435;435;98;ул. Армавирская;26
442;442;612;Квартал Б;14
445;445;169;пр-т. Королёва;21
462;462;2052;Дмитровское ш.;165 Ек6
468;468;1295;Каштановая аллея;3
476;476;1264;ул. Лазо;23А
478;478;1205;ул. Привокзальная;3А
479;479;900;ул. 50 лет Победы;16
491;491;82;ул.  Генерала Белова;2
517;517;949;ул. Стартовая;1
520;520;82;пр-т Ленинградский;75к1А
540;540;1607;мкр. Южный;18, пом.176
541;541;408;ул. Пермякова;68
542;542;1014;ул. Ойшаева;5
555;555;35;ул. Демьяна Бедного;85Б
568;568;82;ул. Молодогвардейская;61
578;578;570;ул. Максима Горького;77
590;590;391;пр. Ласточкин;вл8
612;612;270;б-р Молодёжный;36
633;633;169;Богатырский пр-т;49
641;641;793;ул. Чапаева;43
647;647;692;ул. Маяковского;27
650;650;169;ул. Русановская;11, Литера А.
655;655;341;ул. Фучика;78
668;668;347;ул. Острогожская;170/2
674;674;388;ул. Московская;8
681;681;82;ул. Барклая;07.янв
685;685;198;бульвар Космонавтов;6
709;709;329;ул. Рабочая;35А
727;727;169;Старо-Петергофский пр-т.;31/2Л
731;731;428;ул. Дубравная;40
746;746;835;ул. Ленина;56а
758;758;1932;ул. Свердлова;2
760;760;1367;ул. Героев Сталинграда;8
786;786;82;ул. Руднёвка;14
799;799;251;ул. Новоселов;40А
807;807;270;ул. Мира;76
818;818;1693;ул. Лермонтова;46
830;830;82;ул. Перерва;19, стр.1
837;837;1164;ул. Пушкинская;28А
867;867;205;ул. Энгельса;69
890;890;159;поселение Внуковское деревня Изварино;вл. 1
892;892;22;ул. Заводская;2
904;904;1062;ул. 40 Лет Октября;16 А пом.1
910;910;17;ПР-Т. ЛЕНИНА;9
927;927;810;ул. Лацкова;1
928;928;179;ул. Красный Путь;101
